steam_appid,categories,genres,header_image,short_description,name,developer,publisher,price,ccu,score
239120,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/239120/header.jpg?t=1624982475,"FINAL FANTASY® III, one of the best-loved games from the epic RPG series, available on Steam.",Final Fantasy III (3D Remake),Square Enix,Square Enix,1599,74,68
400910,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/400910/header.jpg?t=1634007523,"Dodge bullets, missiles and lasers in battle as you wrap your head around that bunny girl costume! Combo away with your mighty Piko Hammer or spam various spells from afar with your fiery fairy friend. Explore and explode through Rabi-Rabi Island as you collect power-ups and uncover secrets...",Rabi-Ribi,"CreSpirit, GemaYue",CreSpirit,1799,74,97
525510,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Stats', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/525510/header.jpg?t=1632221500,"Guns, Gore &amp; Cannoli 2 revives the good, old, action platform run &amp; gun genre, but this time with a bunch of humor and buckets of blown off body parts. In this sequel to Guns, Gore &amp; Cannoli, Vinnie Cannoli’s story continues and this time it’s personal.","Guns, Gore and Cannoli 2","Rogueside, Claeysbrothers",Rogueside,1299,73,80
1034860,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1034860/header.jpg?t=1653592709,GRANDIA HD Remaster brings enhanced visuals to both gameplay and cinematic videos.,GRANDIA HD Remaster,"GAME ARTS, Sickhead Games, LLC","GungHo Online Entertainment America, Inc.",1999,73,92
1933740,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/1933740/header.jpg?t=1656310886,Redo is a world without sorrow created by the virtuadoll Regret. Virtuadoll songs give Redo residents respite from their struggles. Our protagonists discover the truth and form the Go-Home Club to return to reality. Make your way home with companions bearing heavy burdens in this school-themed RPG.,The Caligula Effect 2,"historia Inc., FURYU Corporation",historia Inc.,4999,73,94
427190,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/427190/header.jpg?t=1644282496,You are Frank West. A hard-edged photojournalist hellbent on investigating the mystery at Willamette Mall. It's swarming with zombies. You have 72 hours. Chop 'till you drop!,DEAD RISING,Capcom,Capcom,1999,73,89
965320,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Remote Play Together']",Strategy,https://cdn.akamai.steamstatic.com/steam/apps/965320/header.jpg?t=1617126374,"Let yourself be enchanted by the new world of Settlers with this modernized History Edition – in the midst of green forests and lush meadows, it will bustle again. You alone hold the fate of your kingdom in your hands. Which strategy will you choose?",The Settlers 7 : History Edition,Ubisoft Blue Byte,Ubisoft,1499,73,61
18500,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/18500/header.jpg?t=1572394805,"Defense Grid: The Awakening is a unique spin on tower defense gameplay that will appeal to players of all skill levels. A horde of enemies is invading, and it's up to the player to stop them by strategically building fortification towers around their base.",Defense Grid: The Awakening,Hidden Path Entertainment,Hidden Path Entertainment,999,73,81
261030,"['Single-player', 'Steam Achievements', 'Full controller support']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/261030/header.jpg?t=1612901674,"The Walking Dead: Season Two continues the story of Clementine, a young girl orphaned by the undead apocalypse. Left to fend for herself, she has been forced to learn how to survive in a world gone mad.",The Walking Dead: Season Two,Telltale Games,Skybound Games,1499,73,80
1282690,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Full controller support']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1282690/header.jpg?t=1614948961,"The fate of the world is in your hands. New and old enemies threaten the peace you worked so hard to achieve 24 years ago. Your search for the Alpha Ceph continues, but this time you'll also need to expose the truth behind the C.E.L.L. corporation.",Crysis 3,Crytek,Electronic Arts,2999,73,76
